0.1	302	0.00293577	

0.2	302	0.00586393	

0.3	301.999	0.00878657	

0.4	301.999	0.011706	

0.5	301.999	0.0146235	

0.6	301.999	0.0175396	

0.7	301.999	0.0204547	

0.8	301.998	0.0233687	

0.9	301.998	0.0262817	

1	301.998	0.0291939	

1.1	301.998	0.0321051	

1.2	301.998	0.0350155	

1.3	301.997	0.0379251	

1.4	301.997	0.040834	

1.5	301.997	0.0437421	

1.6	301.997	0.0466496	

1.7	301.997	0.0495565	

1.8	301.997	0.0524628	

1.9	301.996	0.0553685	

2	301.996	0.0582737	

2.1	301.996	0.0611784	

2.2	301.996	0.0640827	

2.3	301.996	0.0669865	

2.4	301.996	0.0698898	

2.5	301.995	0.0727928	

2.6	301.995	0.0756955	

2.7	301.995	0.0785978	

2.8	301.995	0.0814999	

2.9	301.995	0.0844016	

3	301.995	0.0873031	

3.1	301.994	0.0902044	

3.2	301.994	0.0931055	

3.3	301.994	0.0960065	

3.4	301.994	0.0989073	

3.5	301.994	0.101808	

3.6	301.994	0.104709	

3.7	301.994	0.107609	

3.8	301.993	0.11051	

3.9	301.993	0.11341	

4	301.993	0.11631	

4.1	301.993	0.119211	

4.2	301.993	0.122111	

4.3	301.993	0.125012	

4.4	301.993	0.127913	

4.5	301.992	0.130814	

4.6	301.992	0.133715	

4.7	301.992	0.136616	

4.8	301.992	0.139517	

4.9	301.992	0.142419	

5	301.992	0.145321	

5.1	301.992	0.148223	

5.2	301.992	0.151125	

5.3	301.991	0.154028	

5.4	301.991	0.156931	

5.5	301.991	0.159834	

5.6	301.991	0.162737	

5.7	301.991	0.165641	

5.8	301.991	0.168545	

5.9	301.991	0.17145	

6	301.991	0.174355	

6.1	301.99	0.177259	

6.2	301.99	0.180165	

6.3	301.99	0.18307	

6.4	301.99	0.185975	

6.5	301.99	0.188881	

6.6	301.99	0.191787	

6.7	301.99	0.194692	

6.8	301.99	0.197598	

6.9	301.989	0.200504	

7	301.989	0.203409	

7.1	301.989	0.206315	

7.2	301.989	0.20922	

7.3	301.989	0.212125	

7.4	301.989	0.21503	
