mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
4;1;1.00;0.0;10.1;95;8;187;12;173;0;991.3;-
4;1;2.00;0.0;9.8;92;9;204;14;216;0;991.3;-
4;1;3.00;0.0;9.7;91;9;180;13;185;0;991.6;-
4;1;4.00;0.0;9.6;92;7;138;12;164;0;991.7;-
4;1;5.00;0.3;9.5;94;8;106;12;113;0;991.9;-
4;1;6.00;0.0;10.2;93;6;144;11;135;37;992.7;-
4;1;7.00;0.0;10.4;91;7;138;10;131;56;993.0;-
4;1;8.00;0.8;10.7;90;6;131;10;130;144;993.5;-
4;1;9.00;0.0;11.4;87;6;138;9;112;401;993.6;-
4;1;10.00;0.0;12.3;83;6;114;13;102;548;993.8;-
4;1;11.00;0.0;13.1;78;5;348;11;110;1229;993.6;-
4;1;12.00;0.0;13.1;80;8;294;15;287;1591;993.7;-
4;1;13.00;0.0;12.9;79;6;353;10;3;1415;993.5;-
4;1;14.00;0.0;13.4;69;6;325;13;347;1249;993.3;-
4;1;15.00;0.0;13.7;70;11;313;19;326;453;993.2;-
4;1;16.00;0.0;13.5;76;5;263;14;290;421;993.3;-
4;1;17.00;0.0;13.4;68;7;202;26;210;95;993.9;-
4;1;18.00;0.0;13.2;71;8;101;28;209;22;993.9;-
4;1;19.00;0.0;12.8;74;9;110;14;88;0;994.6;-
4;1;20.00;0.0;12.6;72;8;125;13;114;0;994.9;-
4;1;21.00;0.0;12.5;71;10;123;18;137;0;995.0;-
4;1;22.00;0.0;12.1;72;11;119;18;123;0;995.2;-
4;1;23.00;0.0;11.8;74;11;117;18;135;0;995.7;-
4;1;24.00;0.0;11.9;73;10;135;19;148;0;996.0;-
4;2;1.00;0.0;11.6;75;9;167;17;140;0;996.0;-
4;2;2.00;0.0;11.2;75;10;174;20;171;0;996.1;-
4;2;3.00;0.2;10.2;74;15;149;25;170;0;996.3;-
4;2;4.00;0.0;9.8;81;15;163;32;176;0;996.7;-
4;2;5.00;0.1;8.5;87;21;197;35;204;0;997.6;-
4;2;6.00;0.0;9.0;84;10;178;17;186;10;998.2;-
4;2;7.00;0.0;9.0;79;13;185;19;210;114;998.8;-
4;2;8.00;0.5;8.8;79;10;188;20;276;158;999.9;-
4;2;9.00;0.1;9.0;77;10;153;24;239;372;1001.0;-
4;2;10.00;0.0;9.5;65;12;219;19;211;611;1001.6;-
4;2;11.00;0.0;9.8;59;10;262;17;210;1062;1002.1;-
4;2;12.00;0.0;9.4;67;9;6;16;31;732;1002.2;-
4;2;13.00;0.0;9.5;72;13;48;21;51;702;1002.6;-
4;2;14.00;0.0;9.6;63;8;358;12;10;522;1002.7;-
4;2;15.00;0.1;9.5;68;9;45;19;51;434;1002.9;-
4;2;16.00;0.0;9.4;69;15;63;24;56;502;1002.9;-
4;2;17.00;0.0;8.7;68;17;82;29;86;250;1003.3;-
4;2;18.00;0.0;8.1;69;19;92;31;103;15;1004.2;-
4;2;19.00;0.0;7.5;72;19;86;32;85;0;1005.1;-
4;2;20.00;0.0;7.4;72;24;89;42;82;0;1005.5;-
4;2;21.00;0.0;7.1;72;30;77;47;79;0;1006.2;-
4;2;22.00;0.0;7.2;72;40;77;57;81;0;1007.0;-
4;2;23.00;0.0;7.8;66;36;80;53;67;0;1007.6;-
4;2;24.00;0.0;7.7;62;35;76;55;59;0;1007.8;-
4;3;1.00;0.0;7.5;62;34;76;53;88;0;1007.9;-
4;3;2.00;0.0;7.2;65;40;62;57;59;0;1008.0;-
4;3;3.00;0.0;7.1;62;49;63;64;65;0;1008.4;-
4;3;4.00;0.0;7.0;61;47;71;67;77;0;1009.0;-
