mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
4;1;1.00;-;12.0;73;22;87;36;89;0;-;-
4;1;2.00;-;12.2;71;27;83;34;84;0;-;-
4;1;3.00;-;11.9;74;9;46;22;85;0;-;-
4;1;4.00;-;12.5;69;12;67;19;67;0;-;-
4;1;5.00;-;10.7;82;6;19;16;70;4;-;-
4;1;6.00;-;11.5;76;4;20;14;348;299;-;-
4;1;7.00;-;12.2;73;5;51;10;42;894;-;-
4;1;8.00;-;12.3;77;7;108;11;103;1631;-;-
4;1;9.00;-;12.7;74;5;232;10;123;1812;-;-
4;1;10.00;-;12.5;78;9;266;15;237;2288;-;-
4;1;11.00;-;13.1;75;8;275;12;283;2885;-;-
4;1;12.00;-;13.4;75;8;243;10;257;2808;-;-
4;1;13.00;-;13.2;75;12;247;18;243;2552;-;-
4;1;14.00;-;13.2;77;15;218;20;215;2093;-;-
4;1;15.00;-;13.1;79;16;226;21;215;1515;-;-
4;1;16.00;-;13.1;81;14;242;18;227;839;-;-
4;1;17.00;-;13.4;76;9;192;17;214;284;-;-
4;1;18.00;-;13.2;82;9;128;17;218;52;-;-
4;1;19.00;-;12.9;85;9;95;13;53;0;-;-
4;1;20.00;-;12.8;85;4;88;8;90;0;-;-
4;1;21.00;-;12.4;88;5;302;8;96;0;-;-
4;1;22.00;-;12.2;88;6;19;16;19;0;-;-
4;1;23.00;-;12.2;87;12;99;17;111;0;-;-
4;1;24.00;-;12.2;83;14;116;18;116;0;-;-
4;2;1.00;-;12.2;79;13;89;18;101;0;-;-
4;2;2.00;-;12.5;76;12;91;18;90;0;-;-
4;2;3.00;-;11.8;81;14;122;24;79;0;-;-
4;2;4.00;-;12.3;80;12;69;16;77;0;-;-
4;2;5.00;-;13.0;76;17;91;22;67;5;-;-
4;2;6.00;-;12.5;78;15;89;23;80;132;-;-
4;2;7.00;-;12.5;75;6;94;12;77;589;-;-
4;2;8.00;-;13.2;77;10;21;17;71;1032;-;-
4;2;9.00;-;14.4;69;6;26;9;18;1217;-;-
4;2;10.00;-;14.5;69;6;316;14;320;2497;-;-
4;2;11.00;-;15.2;64;14;294;17;315;2980;-;-
4;2;12.00;-;14.7;75;13;241;21;236;1031;-;-
4;2;13.00;-;14.1;74;20;227;25;227;2179;-;-
4;2;14.00;-;14.2;72;23;217;27;212;1785;-;-
4;2;15.00;-;14.3;71;20;222;25;214;1585;-;-
4;2;16.00;-;14.0;77;13;285;22;228;840;-;-
4;2;17.00;-;14.0;74;10;309;22;322;140;-;-
4;2;18.00;-;14.0;72;11;78;25;74;1;-;-
4;2;19.00;-;14.4;67;13;71;21;84;0;-;-
4;2;20.00;-;14.4;74;10;30;17;33;0;-;-
4;2;21.00;-;14.7;59;14;64;20;52;0;-;-
4;2;22.00;-;14.6;64;14;41;18;22;0;-;-
4;2;23.00;-;14.4;64;23;73;35;71;0;-;-
4;2;24.00;-;13.9;64;26;76;37;82;0;-;-
4;3;1.00;-;13.0;61;40;62;61;58;0;-;-
4;3;2.00;-;12.3;65;44;71;65;62;0;-;-
4;3;3.00;-;11.6;64;51;66;65;62;0;-;-
4;3;4.00;-;10.7;61;56;64;76;68;0;-;-
4;3;5.00;-;10.3;57;63;54;84;51;9;-;-
4;3;6.00;-;10.1;55;63;60;86;52;325;-;-
4;3;7.00;-;10.0;51;57;70;74;77;993;-;-
4;3;8.00;-;10.4;51;56;60;71;65;1664;-;-
4;3;9.00;-;11.1;48;47;66;60;60;2303;-;-
4;3;10.00;-;12.1;44;45;61;59;61;2759;-;-
4;3;11.00;-;12.2;44;45;72;63;75;2970;-;-
4;3;12.00;-;12.6;44;51;69;71;71;2944;-;-
4;3;13.00;-;13.2;40;43;48;57;79;2702;-;-
4;3;14.00;-;13.2;39;44;65;60;72;2254;-;-
4;3;15.00;-;12.9;42;43;68;62;40;1647;-;-
4;3;16.00;-;13.3;38;44;51;68;46;987;-;-
4;3;17.00;-;12.3;43;45;69;63;72;321;-;-
4;3;18.00;-;11.5;44;51;66;72;63;29;-;-
4;3;19.00;-;10.7;45;54;63;68;51;0;-;-
4;3;20.00;-;9.8;47;54;61;76;62;0;-;-
4;3;21.00;-;9.4;43;41;40;55;35;0;-;-
4;3;22.00;-;8.0;46;42;65;59;53;0;-;-
4;3;23.00;-;7.6;44;49;57;66;66;0;-;-
4;3;24.00;-;7.3;43;42;55;55;57;0;-;-
4;4;1.00;-;6.9;45;40;64;60;66;0;-;-
4;4;2.00;-;6.6;41;40;50;56;65;0;-;-
4;4;3.00;-;6.8;42;30;61;41;71;0;-;-
4;4;4.00;-;6.5;41;34;58;51;65;0;-;-
4;4;5.00;-;5.8;42;40;65;54;72;10;-;-
4;4;6.00;-;5.7;43;50;60;66;61;372;-;-
4;4;7.00;-;6.0;43;50;62;69;68;1034;-;-
4;4;8.00;-;6.7;38;39;68;56;65;1718;-;-
4;4;9.00;-;7.3;35;39;72;55;61;2357;-;-
4;4;10.00;-;8.0;31;34;60;60;60;2810;-;-
4;4;11.00;-;9.0;34;32;55;50;43;3028;-;-
4;4;12.00;-;9.8;29;29;47;49;38;2965;-;-
4;4;13.00;-;10.8;30;39;47;59;47;2735;-;-
