mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
4;1;1.00;0.0;11.2;71;23;94;37;90;0;1003.3;-
4;1;2.00;0.0;11.6;70;16;113;36;91;0;1002.6;-
4;1;3.00;0.0;11.8;66;9;160;17;157;0;1002.8;-
4;1;4.00;0.0;12.0;64;9;82;26;95;0;1003.1;-
4;1;5.00;0.0;11.3;71;4;337;14;106;2;1003.6;-
4;1;6.00;0.0;11.3;73;6;122;13;318;336;1004.2;-
4;1;7.00;0.0;11.5;75;3;212;6;207;565;1004.6;-
4;1;8.00;0.0;12.2;71;5;282;12;269;1668;1005.3;-
4;1;9.00;0.0;12.2;73;4;14;8;261;1104;1005.5;-
4;1;10.00;0.0;13.6;67;4;329;7;320;2265;1005.8;-
4;1;11.00;0.0;13.1;71;5;273;12;274;2580;1005.7;-
4;1;12.00;0.0;13.5;71;4;324;8;325;2838;1005.2;-
4;1;13.00;0.0;13.8;71;9;279;13;279;2644;1004.8;-
4;1;14.00;0.0;13.1;74;14;253;17;267;2270;1004.8;-
4;1;15.00;0.0;13.6;75;9;280;14;243;1723;1005.0;-
4;1;16.00;0.0;13.0;76;10;319;16;319;979;1004.8;-
4;1;17.00;0.0;12.9;76;9;235;15;315;396;1004.9;-
4;1;18.00;0.0;13.2;76;2;62;5;277;21;1005.2;-
4;1;19.00;0.0;13.6;76;5;101;12;81;0;1005.6;-
4;1;20.00;0.0;12.9;77;5;329;9;130;0;1006.1;-
4;1;21.00;0.0;12.4;81;6;348;10;350;0;1006.5;-
4;1;22.00;0.0;12.0;83;6;55;9;5;0;1007.0;-
4;1;23.00;0.0;12.2;80;5;123;9;117;0;1007.0;-
4;1;24.00;0.0;11.8;74;4;168;12;193;0;1006.9;-
4;2;1.00;0.0;12.3;73;5;247;14;143;0;1006.8;-
4;2;2.00;0.0;12.7;73;7;91;23;101;0;1006.7;-
4;2;3.00;0.0;13.0;71;13;112;24;113;0;1006.9;-
4;2;4.00;0.0;12.8;71;15;92;25;101;0;1007.3;-
4;2;5.00;0.0;12.5;70;13;75;22;78;5;1007.7;-
4;2;6.00;0.0;13.2;68;11;106;20;107;135;1008.3;-
4;2;7.00;0.0;14.2;63;9;96;16;103;855;1009.1;-
4;2;8.00;0.0;15.0;58;11;105;17;99;753;1009.5;-
